point_id,utm_easting,utm_northing,elevation,utm_zone,array
A1,306077.2581,5466585.398,693.8116,11U,OKLG-8
A2,306077.4076,5466554.148,686.6089,11U,OKLG-8
A3,306077.2517,5466514.84,679.3638,11U,OKLG-8
A4,306078.1234,5466479.932,674.0501,11U,OKLG-8
A5,306078.0093,5466445.764,669.6194,11U,OKLG-8
A6,306078.4509,5466411.013,663.0902,11U,OKLG-8
A7,306077.3007,5466376.182,651.882,11U,OKLG-8
B1,306112.5302,5466589.26,694.7156,11U,OKLG-8
B2,306110.5215,5466552.536,686.6071,11U,OKLG-8
B3,306110.3586,5466518.038,679.7918,11U,OKLG-8
B4,306111.0449,5466482.88,674.4223,11U,OKLG-8
B5,306111.1537,5466446.859,669.597,11U,OKLG-8
B6,306110.7534,5466413.013,663.04,11U,OKLG-8
B7,306110.1539,5466376.762,653.4109,11U,OKLG-8
C1,306147.1555,5466586.577,693.7995,11U,OKLG-8
C2,306145.8727,5466552.258,686.3517,11U,OKLG-8
C3,306147.4214,5466515.236,678.7817,11U,OKLG-8
C4,306146.9112,5466480.896,672.6855,11U,OKLG-8
C5,306147.3596,5466445.666,666.7585,11U,OKLG-8
C6,306148.1571,5466410.403,660.6896,11U,OKLG-8
C7,306149.2931,5466377.298,652.462,11U,OKLG-8
D1,306180.9972,5466588.911,693.9689,11U,OKLG-8
D2,306182.8221,5466554.969,686.2647,11U,OKLG-8
D3,306182.3222,5466520.693,678.7913,11U,OKLG-8
D4,306181.8788,5466484.067,671.3749,11U,OKLG-8
D5,306182.6993,5466449.16,664.3166,11U,OKLG-8
D6,306182.7549,5466414.233,658.2178,11U,OKLG-8
D7,306182.4104,5466378.292,650.5595,11U,OKLG-8
E1,306217.3318,5466587.32,691.8683,11U,OKLG-8
E2,306217.0531,5466551.09,683.3621,11U,OKLG-8
E3,306217.233,5466515.538,675.7704,11U,OKLG-8
E4,306216.821,5466481.42,669.0224,11U,OKLG-8
E5,306217.4541,5466446.981,661.48,11U,OKLG-8
E6,306218.2784,5466411.837,654.7701,11U,OKLG-8
E7,306218.0862,5466376.386,647.919,11U,OKLG-8
F1,306254.0111,5466588.298,690.7812,11U,OKLG-8
F2,306252.7451,5466552.269,682.6024,11U,OKLG-8
F3,306250.0248,5466517.354,676.9194,11U,OKLG-8
F4,306250.9492,5466481.06,668.1608,11U,OKLG-8
F5,306252.7138,5466447.403,661.4525,11U,OKLG-8
F6,306252.6847,5466413.187,653.046,11U,OKLG-8
F7,306252.6819,5466376.297,646.3673,11U,OKLG-8
G1,306287.4446,5466588.531,687.2285,11U,OKLG-8
G2,306286.9994,5466553.45,679.9404,11U,OKLG-8
G3,306286.6237,5466518.56,675.3752,11U,OKLG-8
G4,306285.9765,5466480.944,666.9948,11U,OKLG-8
G5,306286.5744,5466446.69,659.3939,11U,OKLG-8
G6,306287.3906,5466413.123,652.3554,11U,OKLG-8
G7,306287.9498,5466377.071,646.1088,11U,OKLG-8
SM,306181.6073,5466483.992,671.4081,11U,OKLG-8
