event_id,label,start_timestamp,duration,utm_x,utm_y,elevation,utm_zone,file_ids,file_start_time_offsets,tdoas,distance_residuals,residual_rms,mean_cc_max,hawkears_confirmed
OKLG8_WEML_0000,Western Meadowlark,2025-06-16 12:00:16+00:00,3.0,306263.18323869765,5466578.457665242,688.9283974207241,11U,"[""OKLG-8-D1_20250616_120000"", ""OKLG-8-D2_20250616_120000"", ""OKLG-8-C2_20250616_120000"", ""OKLG-8-C1_20250616_120000"", ""OKLG-8-E2_20250616_120000"", ""OKLG-8-E1_20250616_120000""]","[7.5, 7.5, 7.5, 7.5, 7.5, 7.5]","[0.0, 0.0010709917985844974, 0.1071334917985845, 0.09905015846525117, -0.08344984153474883, -0.10640817486808218]","[0.0, 0.3938458526372648, 0.14483932357333412, -0.8720676025139772, -0.19139434594241111, 0.6221322672287486]",0.4761434031593734,0.2069854084402322,True
OKLG8_WEML_0001,Western Meadowlark,2025-06-16 12:00:52+00:00,3.0,306260.2420638744,5466577.910416025,689.2048118302821,11U,"[""OKLG-8-D1_20250616_120000"", ""OKLG-8-C1_20250616_120000"", ""OKLG-8-E2_20250616_120000"", ""OKLG-8-D2_20250616_120000"", ""OKLG-8-E1_20250616_120000""]","[25.5, 25.5, 25.5, 25.5, 25.5]","[0.0, 0.09905015846525117, -0.08301234153474885, 0.00011265846525115863, -0.10609567486808219]","[0.0, -0.9194329554162638, -0.23967415705117995, 0.6155408231202126, 0.5868460587831549]",0.5702770313979881,0.2459014847874641,True
OKLG8_WEML_0002,Western Meadowlark,2025-06-16 12:02:16+00:00,3.0,306236.06313900644,5466301.453784941,631.7955348669715,11U,"[""OKLG-8-E7_20250616_120000"", ""OKLG-8-D7_20250616_120000"", ""OKLG-8-F7_20250616_120000"", ""OKLG-8-D6_20250616_120000"", ""OKLG-8-E6_20250616_120000""]","[67.5, 67.5, 67.5, 67.5, 67.5]","[0.0, 0.0484459917985845, -0.0020540082014154915, 0.14180015846525112, 0.10388349179858447]","[0.0, 0.08044063903449582, 0.022365161376045994, -0.29738121971716563, -0.5415053276235469]",0.2787954470707183,0.2301860004663467,True
OKLG8_WEML_0003,Western Meadowlark,2025-06-16 12:03:37.500000+00:00,3.0,306182.5992391329,5466604.820046528,697.5957294013397,11U,"[""OKLG-8-D2_20250616_120000"", ""OKLG-8-E1_20250616_120000"", ""OKLG-8-D1_20250616_120000"", ""OKLG-8-E3_20250616_120000"", ""OKLG-8-D3_20250616_120000"", ""OKLG-8-C1_20250616_120000""]","[108.0, 108.0, 108.0, 108.0, 108.0, 108.0]","[0.0, -0.034699841534748865, -0.10232484153474886, 0.13788349179858445, 0.10119599179858446, -0.03163734153474884]","[0.0, 0.19920449670604365, 0.6902170170573838, -0.6287919615138582, 0.053536991134885, -0.1290058835770025]",0.3939056613846362,0.1883980883285403,True
OKLG8_WEML_0004,Western Meadowlark,2025-06-16 12:03:40+00:00,3.0,306175.7332055625,5466615.779294835,700.2654376539033,11U,"[""OKLG-8-E1_20250616_120000"", ""OKLG-8-D2_20250616_120000"", ""OKLG-8-D1_20250616_120000"", ""OKLG-8-F2_20250616_120000""]","[109.5, 109.5, 109.5, 109.5]","[0.0, 0.034737658465251176, -0.06757484153474885, 0.14625849179858447]","[0.0, -0.31796413570374793, 0.3865864871102721, -0.3487252719351386]",0.3050244329952636,0.2962530590593815,True
OKLG8_WEML_0005,Western Meadowlark,2025-06-16 12:04:16+00:00,3.0,306260.2638559131,5466587.780039537,690.2995863689807,11U,"[""OKLG-8-E2_20250616_120000"", ""OKLG-8-E3_20250616_120000"", ""OKLG-8-F2_20250616_120000"", ""OKLG-8-F3_20250616_120000"", ""OKLG-8-F1_20250616_120000"", ""OKLG-8-D1_20250616_120000"", ""OKLG-8-E1_20250616_120000"", ""OKLG-8-D2_20250616_120000""]","[127.5, 127.5, 127.5, 127.5, 127.5, 127.5, 127.5, 127.5]","[0.0, 0.08192515846525117, -0.05822067486808219, 0.04469599179858447, -0.1493665082014155, 0.0670918251319178, -0.041012341534748864, 0.07900849179858449]","[0.0, -0.13319111654007834, 0.14812843757772298, -0.16639666211102866, 0.8835714480309986, -0.9720112714100894, 0.04956974882025273, -0.25376033656765457]",0.4821469745631238,0.1912590060383081,True
OKLG8_WEML_0006,Western Meadowlark,2025-06-16 12:04:19.500000+00:00,3.0,306260.26966658945,5466587.789824986,690.2846132650861,11U,"[""OKLG-8-E2_20250616_120000"", ""OKLG-8-F1_20250616_120000"", ""OKLG-8-D2_20250616_120000"", ""OKLG-8-F2_20250616_120000"", ""OKLG-8-E3_20250616_120000"", ""OKLG-8-F3_20250616_120000"", ""OKLG-8-D1_20250616_120000"", ""OKLG-8-E1_20250616_120000""]","[129.0, 129.0, 129.0, 129.0, 129.0, 129.0, 129.0, 129.0]","[0.0, -0.1493665082014155, 0.07900849179858449, -0.05822067486808219, 0.08192515846525117, 0.04469599179858447, 0.0670709917985845, -0.041012341534748864]","[0.0, 0.8808441623205128, -0.2541857251257127, 0.14670205728258678, -0.13339120389230175, -0.16768953619185756, -0.9673083237432333, 0.04716456702863625]",0.4803437828983495,0.1886816481128335,True
OKLG8_WEML_0007,Western Meadowlark,2025-06-16 12:05:25.500000+00:00,3.0,306248.55506803625,5466558.766489081,683.9067026347734,11U,"[""OKLG-8-G1_20250616_120000"", ""OKLG-8-G2_20250616_120000"", ""OKLG-8-F1_20250616_120000"", ""OKLG-8-F2_20250616_120000""]","[162.0, 162.0, 162.0, 162.0]","[0.0, 0.019820991798584486, -0.029241508201415523, -0.13869984153474885]","[0.0, -16.9334690837283, -8.155783507479766, 6.763468144112306]",9.987538249825167,0.2750400123186409,True
OKLG8_WEML_0008,Western Meadowlark,2025-06-16 12:05:43.500000+00:00,3.0,306247.9271502289,5466520.721006401,677.9289811836219,11U,"[""OKLG-8-G3_20250616_120000"", ""OKLG-8-F4_20250616_120000"", ""OKLG-8-F2_20250616_120000"", ""OKLG-8-F3_20250616_120000"", ""OKLG-8-G4_20250616_120000"", ""OKLG-8-G2_20250616_120000""]","[171.0, 171.0, 171.0, 171.0, 171.0, 171.0]","[0.0, 0.006591825131917806, -0.019512341534748845, -0.10161650820141549, 0.05098765846525116, 0.036133491798584494]","[0.0, -0.16466162103350213, 0.16703897575511534, 0.42497524335523684, -0.3686265174348728, -0.3391830397870391]",0.2847660063288454,0.2372032298396031,True
OKLG8_WEML_0009,Western Meadowlark,2025-06-16 12:05:46+00:00,3.0,306248.6628891617,5466558.525176964,683.93471664773,11U,"[""OKLG-8-G1_20250616_120000"", ""OKLG-8-G2_20250616_120000"", ""OKLG-8-F1_20250616_120000"", ""OKLG-8-F2_20250616_120000""]","[172.5, 172.5, 172.5, 172.5]","[0.0, 0.019612658465251176, -0.02863734153474884, -0.13972067486808218]","[0.0, -17.056667863777964, -8.218171265565731, 6.80462275512575]",10.059462565229085,0.2781258546747267,True
